drug_a,drug_b,brand_a,brand_b,base_risk,is_extended_release_a,is_extended_release_b,is_delayed_release_a,is_delayed_release_b,route_match,strength_ratio,same_manufacturer,has_patent_a,has_patent_b,risk_modifier,actual_risk_change,explanation
lithium,ibuprofen,LITHOBID,ADVIL,0.73,1,0,0,0,1,1.0,0,0,0,mitigates,-0.08,"Extended release lithium has more stable levels reducing NSAID impact"
lithium,ibuprofen,ESKALITH,MOTRIN,0.73,0,0,0,0,1,1.0,0,0,0,potentiates,0.05,"Immediate release lithium more susceptible to NSAID-induced retention"
carbamazepine,erythromycin,TEGRETOL XR,ERY-TAB,0.77,1,0,0,1,1,1.0,0,0,0,mitigates,-0.09,"Both modified release formulations reduce peak interaction"
carbamazepine,erythromycin,TEGRETOL,ERYTHROCIN,0.77,0,0,0,0,1,1.0,0,0,0,potentiates,0.06,"Immediate release forms maximize CYP3A4 inhibition effect"
theophylline,ciprofloxacin,THEO-24,CIPRO,0.81,1,0,0,0,1,1.0,0,0,0,mitigates,-0.05,"Extended release theophylline buffers against fluoroquinolone inhibition"
theophylline,ciprofloxacin,THEODUR,CIPRO,0.81,1,0,0,0,1,1.0,0,0,0,mitigates,-0.05,"Extended release formulation provides similar protection"
methotrexate,nsaid,TREXALL,CELEBREX,0.79,0,0,0,0,1,1.0,0,0,0,potentiates,0.03,"Standard tablet with selective COX-2 inhibitor"
methotrexate,nsaid,RASUVO,CELEBREX,0.79,0,0,0,0,0,1.0,0,0,0,mitigates,-0.10,"Subcutaneous injection route avoids GI absorption competition"
tacrolimus,fluconazole,PROGRAF,DIFLUCAN,0.84,0,0,0,0,1,1.0,0,0,0,potentiates,0.04,"Oral formulations have full CYP3A4 interaction"
tacrolimus,fluconazole,ASTAGRAF XL,DIFLUCAN,0.84,1,0,0,0,1,1.0,0,0,0,mitigates,-0.06,"Extended release tacrolimus may have more stable levels"
cyclosporine,st_johns_wort,NEORAL,ST JOHNS WORT,0.88,0,0,0,0,1,1.0,0,0,0,potentiates,0.05,"Microemulsion formulation fully exposed to CYP3A4 induction"
cyclosporine,st_johns_wort,SANDIMMUNE,ST JOHNS WORT,0.88,0,0,0,0,1,1.0,0,0,0,potentiates,0.03,"Original formulation has variable absorption anyway"
gabapentin,morphine,NEURONTIN,MS CONTIN,0.55,0,1,0,0,1,1.0,0,0,0,mitigates,-0.08,"Extended release morphine reduces CNS depression peak"
gabapentin,morphine,GRALISE,KADIAN,0.55,1,1,0,0,1,1.0,0,0,0,mitigates,-0.12,"Both extended release minimize concurrent peak sedation"
atorvastatin,gemfibrozil,LIPITOR,LOPID,0.71,0,0,0,0,1,1.0,0,0,0,potentiates,0.04,"Standard formulations have full glucuronidation interaction"
rosuvastatin,fenofibrate,CRESTOR,TRICOR,0.62,0,0,0,0,1,1.0,0,0,0,neutral,0.0,"Fenofibrate safer than gemfibrozil with statins"
losartan,potassium,COZAAR,K-DUR,0.58,0,1,0,0,1,1.0,0,0,0,mitigates,-0.06,"Extended release potassium reduces hyperkalemia spike risk"
losartan,potassium,COZAAR,KLOR-CON,0.58,0,0,0,0,1,1.0,0,0,0,potentiates,0.03,"Immediate release potassium increases hyperkalemia risk"
sertraline,maoi,ZOLOFT,NARDIL,0.95,0,0,0,0,1,1.0,0,0,0,potentiates,0.02,"Maximum serotonin syndrome risk - formulation has minimal effect"
venlafaxine,maoi,EFFEXOR XR,MARPLAN,0.94,1,0,0,0,1,1.0,0,0,0,mitigates,-0.01,"Extended release provides slight buffer but risk remains critical"
citalopram,pimozide,CELEXA,ORAP,0.89,0,0,0,0,1,1.0,0,0,0,potentiates,0.03,"QT prolongation risk with immediate release forms"
escitalopram,ondansetron,LEXAPRO,ZOFRAN ODT,0.67,0,0,0,0,1,1.0,0,0,0,neutral,0.0,"Orally disintegrating tablet has similar systemic exposure"
