symptom,drug_classes,first_line_drugs,second_line_drugs,avoid_drugs,notes,source,severity_level
irregular heartbeat,antiarrhythmic|beta_blocker|calcium_channel_blocker,amiodarone|metoprolol,diltiazem|sotalol,stimulant|untreated_electrolyte_imbalance,require ecg evaluation and manage underlying cause,aha|acc,severe
breathing fast,bronchodilator|anxiolytic|oxygen_therapy,salbutamol|oxygen,diazepam short term,opioid|sedative,identify cause such as anxiety asthma or metabolic acidosis,gina|mayo_clinic|who,moderate
hoarse voice,corticosteroid|ppi|antihistamine,prednisolone|omeprazole,famotidine|loratadine,smoking|voice_overuse,evaluate for laryngitis reflux or vocal strain,mayo_clinic|nice,mild
sore throat,analgesics|antiseptics|antibiotics_if_bacterial,paracetamol|amoxicillin,ibuprofen|azithromycin,unnecessary_antibiotic_use|smoking,most cases are viral and self limiting,who|nice,mild
difficulty speaking,corticosteroid|speech_therapy_agents|ppi,prednisolone|omeprazole,betamethasone|ranitidine,smoking|voice_overuse,evaluate for laryngitis stroke or reflux,mayo_clinic|nice,moderate_severe
cough,antitussives|expectorants|bronchodilator,dextromethorphan|guaifenesin,salbutamol|codeine,smoking|ace_inhibitors,identify cause such as infection asthma or reflux,who|nice|mayo_clinic,mild_moderate
nasal congestion,antihistamine|decongestant|intranasal_corticosteroid,loratadine|oxymetazoline,fluticasone|cetirizine,long_term_topical_decongestants|smoking,often due to allergy or viral infection,nice|mayo_clinic,mild
throat swelling,antihistamine|corticosteroid|epinephrine,epinephrine|prednisolone,diphenhydramine|loratadine,delay_in_emergency_care|allergen_exposure,possible anaphylaxis requires urgent care,who|mayo_clinic|nice,severe
diminished hearing,corticosteroid|antibiotics_if_bacterial,prednisolone|amoxicillin,ciprofloxacin|loratadine,untreated_ear_infection|loud_noise_exposure,evaluate for infection wax or sensorineural loss,nice|mayo_clinic,mild_moderate
lump in throat,ppi|antidepressant|anxiolytic,omeprazole|sertraline,famotidine|diazepam,alcohol|smoking,often globus sensation linked to anxiety or reflux,mayo_clinic|nice,mild
throat feels tight,antihistamine|corticosteroid|anxiolytic,loratadine|prednisolone,diazepam short term|montelukast,allergen_exposure|smoking,assess for allergy anxiety or asthma,who|nice|mayo_clinic,moderate
difficulty in swallowing,ppi|corticosteroid|antibiotics_if_infection,omeprazole|prednisolone,amoxicillin|fluconazole,untreated_obstruction|smoking,evaluate for infection obstruction or neurological cause,nice|mayo_clinic,moderate_severe
skin swelling,antihistamine|corticosteroid|epinephrine,loratadine|prednisolone,epinephrine|diphenhydramine,allergen_exposure|delay_in_treatment,possible angioedema or allergic reaction,who|mayo_clinic|nice,moderate_severe
retention of urine,alpha_blocker|cholinergic_agonist|catheterization,tamsulosin|bethanechol,finasteride|suprapubic catheter,anticholinergics|opioid,assess for benign prostatic hyperplasia obstruction or neurological cause,nice|who|mayo_clinic,moderate_severe
groin mass,antibiotics|analgesics|surgical_management,amoxicillin|ibuprofen,cephalexin|naproxen,delay_in_surgical_evaluation,evaluate for hernia lymphadenopathy or abscess,nice|who,moderate
leg pain,nsaid|analgesics|anticoagulants_if_dvt,ibuprofen|paracetamol,enoxaparin|naproxen,delay_in_dvt_treatment|prolonged_immobility,assess for injury neuropathy or deep vein thrombosis,who|nice,mild
hip pain,nsaid|analgesics|corticosteroid_injections,ibuprofen|paracetamol,tramadol|prednisolone,long_term_opioid_use,evaluate for arthritis fracture or bursitis,nice|who,moderate
suprapubic pain,antibiotics|analgesics|antispasmodics,nitrofurantoin|paracetamol,trimethoprim|hyoscine,delay_in_urinary_infection_treatment,commonly due to urinary tract infection,who|nice,moderate
blood in stool,ppi|hemostatic_agents|iron_supplements,omeprazole|tranexamic acid,ferrous sulfate|sucralfate,nsaid|delay_in_colonoscopy,evaluate for gastrointestinal bleeding urgently,who|nice|mayo_clinic,severe
lack of growth,growth_hormone_therapy|nutritional_supplements,somatropin|vitamin d,iron supplements|multivitamins,untreated_endocrine_disorder,evaluate endocrine nutritional and genetic causes,who|nice,moderate
emotional symptoms,ssri|snri|psychotherapy,sertraline|fluoxetine,venlafaxine|buspirone,alcohol|stimulant,consider depression anxiety or stress related disorders,dsm5|nice,mild_moderate
elbow weakness,nsaid|physical_therapy_agents|corticosteroid,ibuprofen|prednisolone,tramadol|naproxen,overuse|untreated_nerve_compression,evaluate for tendon injury or neuropathy,nice|who,moderate
back weakness,nsaid|muscle_relaxants|physical_therapy,ibuprofen|baclofen,diazepam short term|naproxen,long_term_opioid_use,evaluate for spinal cord or muscular disorder,nice|who,moderate_severe
pus in sputum,antibiotics|bronchodilator|corticosteroid,amoxicillin|salbutamol,azithromycin|prednisolone,smoking|delay_in_infection_treatment,commonly due to bacterial respiratory infection,who|nice|gold,moderate_severe
symptoms of the scrotum and testes,antibiotics|analgesics|surgical_management,doxycycline|ibuprofen,ceftriaxone|naproxen,delay_in_torsion_treatment,evaluate for epididymitis orchitis or testicular torsion,who|nice,severe
swelling of scrotum,antibiotics|analgesics|surgical_management,doxycycline|ibuprofen,ceftriaxone|naproxen,delay_in_torsion_treatment,evaluate for epididymitis hydrocele or torsion,who|nice,severe
pain in testicles,analgesics|antibiotics|surgical_management,ibuprofen|doxycycline,ceftriaxone|naproxen,delay_in_torsion_treatment,evaluate urgently for torsion infection or trauma,who|nice,severe
flatulence,antiflatulents|prokinetics|antispasmodics,simethicone|domperidone,hyoscine|activated charcoal,carbonated_drinks|excess_fiber,dietary modification recommended,mayo_clinic|nice,mild
pus draining from ear,antibiotics|analgesics|ear_drops,amoxicillin|paracetamol,ciprofloxacin ear drops|ibuprofen,delay_in_otitis_treatment,evaluate for otitis media or externa,who|nice,moderate
jaundice,antivirals|supportive_therapy|ursodeoxycholic_acid,tenofovir|supportive care,entecavir|vitamin k,alcohol|hepatotoxic_drugs,evaluate liver function urgently,who|nice,severe
mass in scrotum,antibiotics|analgesics|surgical_evaluation,doxycycline|ibuprofen,naproxen|ceftriaxone,delay_in_imaging_evaluation,evaluate for tumor hydrocele or hernia,nice|who,severe
white discharge from eye,antibiotics|lubricating_drops,chloramphenicol eye drops|artificial tears,ciprofloxacin eye drops|erythromycin eye ointment,steroid_drops_without_prescription,often bacterial conjunctivitis,who|nice,mild_moderate
irritable infant,analgesics|simethicone|supportive_care,paracetamol|simethicone,probiotics|oral rehydration solution,unsafe_dosing|honey_in_infants,assess for colic infection or fever,who|nice,mild_moderate
abusing alcohol,benzodiazepines_short_term|vitamin_supplementation|psychotherapy,diazepam|thiamine,naltrexone|acamprosate,continued_alcohol_intake,manage withdrawal and provide counseling,who|dsm5,moderate_severe
fainting,fluids|beta_blockers_if_cardiac|antiarrhythmic,oral fluids|metoprolol,amiodarone|iv fluids,delay_in_cardiac_evaluation,evaluate for vasovagal or cardiac causes,aha|acc,severe
hostile behavior,antipsychotic|mood_stabilizers|benzodiazepines_short_term,risperidone|valproate,olanzapine|lithium,alcohol|stimulant,evaluate for psychiatric disorder or substance use,apa|dsm5,moderate_severe
drug abuse,behavioral_therapy|opioid_antagonists|substitution_therapy,naltrexone|buprenorphine,methadone|clonidine,continued_substance_use,requires addiction specialist support,who|dsm5,severe
sharp abdominal pain,analgesics|ppi|antibiotics_if_infection,paracetamol|omeprazole,ciprofloxacin|metronidazole,delay_in_surgical_evaluation,evaluate urgently for appendicitis or obstruction,who|nice,severe
feeling ill,analgesics|antipyretics|supportive_therapy,paracetamol|oral rehydration solution,ibuprofen|vitamin c,untreated_infection,identify underlying cause,who|nice,mild_moderate
vomiting,antiemetics|oral_rehydration_therapy,ondansetron|oral rehydration solution,metoclopramide|domperidone,untreated_dehydration,assess for infection obstruction or pregnancy,who|nice,moderate
headache,analgesics|triptans|beta_blocker,ibuprofen|sumatriptan,propranolol|naproxen,overuse_of_analgesics,evaluate for migraine tension or secondary causes,who|nice,mild_moderate
nausea,antiemetics|antihistamine,ondansetron|meclizine,metoclopramide|promethazine,untreated_dehydration,identify underlying gastrointestinal or systemic cause,who|nice,mild_moderate
diarrhea,oral_rehydration_therapy|antidiarrheals|probiotics,oral rehydration solution|loperamide,racecadotril|azithromycin,antimotility_agents_in_bloody_diarrhea|untreated_dehydration,assess for infection and dehydration,who|nice,mild_moderate
vaginal itching,antifungals|antihistamine|topical_corticosteroids,clotrimazole|fluconazole,miconazole|hydrocortisone cream,unnecessary_antibiotic_use|irritants,often due to candidiasis or allergy,who|nice,mild
vaginal dryness,local_estrogen_therapy|lubricants|moisturizers,vaginal estrogen|water based lubricants,ospemifene|systemic estrogen,smoking|irritant_products,common in menopause,nice|mayo_clinic,mild
painful urination,antibiotics|analgesics|urinary_alkalinizers,nitrofurantoin|paracetamol,trimethoprim|phenazopyridine,delay_in_uti_treatment,usually urinary tract infection,who|nice,moderate
involuntary urination,anticholinergics|beta_3_agonists|pelvic_floor_therapy,oxybutynin|mirabegron,tolterodine|botulinum toxin,excess_caffeine|untreated_obstruction,evaluate stress or urge incontinence,nice|who,moderate
pain during intercourse,lubricants|local_estrogen|antifungals,water based lubricants|vaginal estrogen,clotrimazole|fluconazole,untreated_infection|irritants,assess for infection or hormonal cause,nice|mayo_clinic,moderate
frequent urination,antibiotics|anticholinergics|behavioral_therapy,nitrofurantoin|oxybutynin,mirabegron|trimethoprim,excess_caffeine|untreated_diabetes,evaluate infection diabetes or overactive bladder,who|nice,moderate
lower abdominal pain,analgesics|antibiotics_if_infection|antispasmodics,paracetamol|nitrofurantoin,ibuprofen|metronidazole,delay_in_surgical_evaluation,evaluate gynecological urinary or gastrointestinal cause,who|nice,moderate_severe
vaginal discharge,antifungals|antibiotics|antiprotozoals,clotrimazole|metronidazole,fluconazole|doxycycline,unnecessary_antibiotic_use,evaluate for candidiasis bacterial vaginosis or sti,who|nice,moderate
blood in urine,antibiotics|hemostatic_agents|surgical_evaluation,nitrofurantoin|tranexamic acid,ciprofloxacin|cystoscopy,delay_in_urological_evaluation,assess for infection stones or malignancy,nice|who,severe
hot flashes,hormone_therapy|ssri|snri,estrogen therapy|venlafaxine,paroxetine|gabapentin,smoking|untreated_menopause_symptoms,common in menopause,nice|mayo_clinic,mild_moderate
intermenstrual bleeding,hormonal_therapy|tranexamic_acid|nsaid,combined oral contraceptives|tranexamic acid,progesterone therapy|ibuprofen,delay_in_gynecological_evaluation,evaluate for hormonal imbalance or pathology,nice|who,moderate
hand or finger pain,nsaid|analgesics|corticosteroid_injections,ibuprofen|paracetamol,naproxen|prednisolone,long_term_opioid_use,evaluate for arthritis or injury,nice|who,mild_moderate
wrist pain,nsaid|analgesics|splinting,ibuprofen|paracetamol,naproxen|prednisolone,overuse|untreated_fracture,evaluate for sprain arthritis or carpal tunnel,nice|who,mild_moderate
hand or finger swelling,nsaid|corticosteroid|diuretics_if_edema,ibuprofen|prednisolone,furosemide|naproxen,untreated_infection|delay_in_evaluation,evaluate for inflammation injury or edema,who|nice,moderate
arm pain,nsaid|analgesics|physical_therapy,ibuprofen|paracetamol,naproxen|tramadol,untreated_fracture|overuse,evaluate for musculoskeletal or nerve cause,nice|who,mild_moderate
wrist swelling,nsaid|corticosteroid|splinting,ibuprofen|prednisolone,naproxen|furosemide,delay_in_infection_treatment,evaluate for sprain arthritis or infection,who|nice,moderate
arm stiffness or tightness,nsaid|muscle_relaxants|physical_therapy,ibuprofen|baclofen,diazepam short term|naproxen,long_term_opioid_use,evaluate for muscular or neurological cause,nice|who,moderate
arm swelling,diuretics|nsaid|compression_therapy,furosemide|ibuprofen,prednisolone|naproxen,untreated_lymphedema|infection,evaluate for injury infection or vascular cause,who|nice,moderate
hand or finger stiffness or tightness,nsaid|physical_therapy|corticosteroid,ibuprofen|prednisolone,naproxen|methotrexate,long_term_opioid_use,evaluate for arthritis or tendon disorder,nice|who,moderate
wrist stiffness or tightness,nsaid|physical_therapy|corticosteroid,ibuprofen|prednisolone,naproxen|methotrexate,long_term_opioid_use,evaluate for arthritis or tendon disorder,nice|who,moderate
lip swelling,antihistamine|corticosteroid|epinephrine,loratadine|prednisolone,epinephrine|diphenhydramine,allergen_exposure|delay_in_treatment,possible angioedema requires urgent care,who|nice,moderate_severe
toothache,analgesics|antibiotics,paracetamol|ibuprofen,amoxicillin|metronidazole,delay_in_dental_treatment,evaluate for dental infection or caries,who|nice,moderate
abnormal appearing skin,topical_corticosteroids|antifungals|antibiotics,hydrocortisone cream|clotrimazole,mupirocin|fluconazole,unnecessary_steroid_use,evaluate for dermatitis infection or rash,who|nice,mild_moderate
skin lesion,topical_corticosteroids|antibiotics|surgical_excision,hydrocortisone cream|mupirocin,cryotherapy|biopsy,delay_in_dermatology_evaluation,assess for benign or malignant lesion,who|nice,moderate
acne or pimples,topical_retinoids|benzoyl_peroxide|antibiotics,adapalene|benzoyl peroxide,doxycycline|isotretinoin,unnecessary_steroid_creams,common in adolescence,nice|who,mild_moderate
dry lips,emollients|lip_balms|topical_corticosteroids,petroleum jelly|lanolin balm,hydrocortisone cream|vitamin e,licking_lips|dehydration,maintain hydration and protection,mayo_clinic|who,mild
facial pain,analgesics|antibiotics_if_sinusitis|anticonvulsants,paracetamol|amoxicillin,carbamazepine|ibuprofen,delay_in_infection_treatment,evaluate sinus or trigeminal neuralgia cause,nice|who,moderate
mouth ulcer,topical_corticosteroids|antiseptics,triamcinolone paste|chlorhexidine mouthwash,benzydamine|vitamin b complex,smoking|spicy_foods,often aphthous ulcer,who|nice,mild
skin growth,surgical_excision|cryotherapy|topical_therapy,cryotherapy|imiquimod,excision biopsy|electrocautery,delay_in_dermatology_review,evaluate for wart or tumor,who|nice,moderate
eye deviation,patch_therapy|corrective_lenses|surgery,corrective lenses|patching,strabismus surgery|botulinum toxin,delay_in_ophthalmology_referral,often strabismus,nice|mayo_clinic,moderate
diminished vision,corrective_lenses|corticosteroids_if_inflammation|surgery,corrective lenses|prednisolone eye drops,cataract surgery|anti vegf,delay_in_ophthalmic_evaluation,assess for cataract glaucoma or retinal disease,who|nice,severe
double vision,corticosteroid|patch_therapy|surgery,prednisolone|patching,strabismus surgery|prisms,delay_in_neurological_evaluation,evaluate for nerve palsy or stroke,who|nice,severe
cross-eyed,patch_therapy|corrective_lenses|surgery,corrective lenses|patching,strabismus surgery|botulinum toxin,delay_in_referral,often childhood strabismus,nice|mayo_clinic,moderate
symptoms of eye,lubricants|antibiotics|antihistamine,artificial tears|chloramphenicol eye drops,cetirizine|ciprofloxacin eye drops,steroid_drops_without_prescription,evaluate underlying eye condition,who|nice,mild_moderate
pain in eye,analgesics|antibiotics|corticosteroid,paracetamol|chloramphenicol eye drops,prednisolone eye drops|ibuprofen,delay_in_ophthalmic_evaluation,evaluate for infection or glaucoma,who|nice,severe
eye moves abnormally,corticosteroid|antiepileptics|surgery,prednisolone|levetiracetam,strabismus surgery|botulinum toxin,delay_in_neurological_evaluation,evaluate for nystagmus or nerve disorder,who|nice,severe
abnormal movement of eyelid,botulinum_toxin|anticonvulsants,botulinum toxin|clonazepam,carbamazepine|baclofen,untreated_neurological_disorder,often blepharospasm,nice|who,moderate
foreign body sensation in eye,lubricants|antibiotics,artificial tears|chloramphenicol eye drops,ciprofloxacin eye drops|eye irrigation,rubbing_eye,evaluate for corneal abrasion,who|nice,moderate
irregular appearing scalp,antifungals|topical_corticosteroids|medicated_shampoo,ketoconazole shampoo|hydrocortisone lotion,terbinafine|coal tar shampoo,harsh_hair_products,often fungal or dermatitis related,who|nice,mild
swollen lymph nodes,antibiotics|analgesics,amoxicillin|paracetamol,doxycycline|ibuprofen,delay_in_evaluation_if_persistent,evaluate infection or malignancy cause,who|nice,moderate_severe
back pain,nsaid|muscle_relaxants|physical_therapy,ibuprofen|baclofen,naproxen|diazepam short term,long_term_opioid_use,common musculoskeletal cause,nice|who,mild_moderate
neck pain,nsaid|muscle_relaxants|physical_therapy,ibuprofen|baclofen,naproxen|diazepam short term,poor_posture,assess muscular strain,nice|who,mild_moderate
low back pain,nsaid|muscle_relaxants|physical_therapy,ibuprofen|baclofen,naproxen|tramadol,long_term_opioid_use,evaluate mechanical cause,nice|who,mild_moderate
pain of the anus,analgesics|topical_corticosteroids|laxatives,paracetamol|hydrocortisone cream,lidocaine ointment|psyllium,constipation,evaluate hemorrhoids or fissure,who|nice,moderate
pain during pregnancy,analgesics|antispasmodics,paracetamol|hyoscine,ibuprofen in third trimester,delay_in_obstetric_evaluation,consult obstetric care,who|nice,moderate_severe
pelvic pain,analgesics|antibiotics_if_infection|hormonal_therapy,paracetamol|doxycycline,combined oral contraceptives|ibuprofen,delay_in_gynecological_evaluation,evaluate infection or endometriosis,who|nice,moderate
impotence,pde5_inhibitors|psychotherapy,sildenafil|tadalafil,alprostadil|testosterone,smoking|untreated_diabetes,evaluate cardiovascular risk,who|nice,moderate
infant spitting up,feeding_modification|thickened_feeds|proton_pump_inhibitors_if_severe,feeding adjustment|omeprazole,ranitidine|domperidone,overfeeding,often physiologic reflux,who|nice,mild
vomiting blood,ppi|endoscopic_therapy|blood_transfusion,omeprazole iv|endoscopy,tranexamic acid|surgery,delay_in_emergency_care,possible gastrointestinal bleeding emergency,who|nice,severe
regurgitation,ppi|feeding_modification,omeprazole|feeding adjustment,ranitidine|domperidone,overeating|lying_flat_after_meals,often reflux related,who|nice,mild_moderate
burning abdominal pain,ppi|antacids|h2_blockers,omeprazole|antacids,famotidine|sucralfate,nsaid|smoking,often gastritis or ulcer,who|nice,moderate
restlessness,ssri|benzodiazepines_short_term|psychotherapy,sertraline|diazepam,buspirone|propranolol,alcohol|stimulant,evaluate anxiety disorder,dsm5|nice,mild_moderate
symptoms of infants,supportive_care|oral_rehydration|analgesics,oral rehydration solution|paracetamol,probiotics|simethicone,unsafe_dosing,assess for infection or dehydration,who|nice,mild_moderate
wheezing,bronchodilator|corticosteroid,salbutamol inhaler|prednisolone,ipratropium|montelukast,smoking|allergen_exposure,often asthma related,gina|who,moderate_severe
peripheral edema,diuretics|compression_therapy|salt_restriction,furosemide|compression stockings,spironolactone|prednisolone,untreated_heart_failure,evaluate cardiac renal or liver cause,who|nice,moderate_severe
neck mass,antibiotics|surgical_evaluation,amoxicillin|biopsy,doxycycline|excision,delay_in_imaging,evaluate for infection or tumor,who|nice,severe
ear pain,analgesics|antibiotics,paracetamol|amoxicillin,ibuprofen|ciprofloxacin ear drops,delay_in_treatment,evaluate otitis media or externa,who|nice,moderate
jaw swelling,antibiotics|analgesics,amoxicillin|ibuprofen,metronidazole|naproxen,delay_in_dental_evaluation,evaluate dental abscess,who|nice,moderate
mouth dryness,saliva_substitutes|pilocarpine|hydration,artificial saliva|pilocarpine,cevimeline|lozenges,dehydration|anticholinergic_drugs,often medication related,who|nice,mild
neck swelling,antibiotics|antiinflammatory_agents|surgical_evaluation,amoxicillin|ibuprofen,doxycycline|biopsy,delay_in_imaging,evaluate thyroid or lymph node cause,who|nice,moderate_severe
knee pain,nsaid|analgesics|physical_therapy,ibuprofen|paracetamol,naproxen|prednisolone,long_term_opioid_use,evaluate for arthritis or injury,nice|who,mild_moderate
foot or toe pain,nsaid|analgesics|rest,ibuprofen|paracetamol,naproxen|tramadol,untreated_fracture,evaluate for gout injury or strain,nice|who,mild_moderate
bowlegged or knock-kneed,vitamin_d_supplementation|orthopedic_management,vitamin d|calcium,bracing|surgery,delay_in_orthopedic_referral,often rickets or developmental cause,who|nice,moderate
ankle pain,nsaid|analgesics|rest,ibuprofen|paracetamol,naproxen|prednisolone,untreated_sprain,evaluate for sprain or arthritis,nice|who,mild_moderate
bones are painful,analgesics|vitamin_d|bisphosphonates,paracetamol|vitamin d,alendronate|ibuprofen,untreated_osteoporosis,evaluate metabolic bone disease,who|nice,moderate
knee weakness,physical_therapy|nsaid|corticosteroid,ibuprofen|prednisolone,naproxen|methotrexate,untreated_ligament_injury,evaluate structural damage,nice|who,moderate
elbow pain,nsaid|analgesics|rest,ibuprofen|paracetamol,naproxen|prednisolone,overuse,evaluate tendonitis,nice|who,mild_moderate
knee swelling,nsaid|corticosteroid|aspiration,ibuprofen|prednisolone,naproxen|methotrexate,untreated_infection,evaluate for arthritis or effusion,nice|who,moderate
skin moles,surgical_excision|dermatology_monitoring,excision biopsy|dermoscopy,cryotherapy|laser therapy,delay_in_evaluation_for_change,monitor for melanoma signs,who|nice,mild_moderate
knee lump or mass,imaging|surgical_evaluation,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate cyst or tumor,who|nice,severe
weight gain,dietary_management|physical_activity|behavioral_therapy,calorie restriction|exercise,orlistat|metformin,unhealthy_diet,evaluate endocrine cause,who|nice,mild_moderate
problems with movement,physical_therapy|dopaminergic_agents|muscle_relaxants,levodopa|baclofen,carbidopa|diazepam short term,untreated_neurological_disorder,evaluate neurological cause,who|nice,moderate_severe
knee stiffness or tightness,nsaid|physical_therapy|corticosteroid,ibuprofen|prednisolone,naproxen|methotrexate,long_term_opioid_use,evaluate arthritis,nice|who,moderate
leg swelling,diuretics|compression_therapy|salt_restriction,furosemide|compression stockings,spironolactone|prednisolone,untreated_heart_failure,evaluate cardiac renal cause,who|nice,moderate_severe
foot or toe swelling,nsaid|diuretics|rest,ibuprofen|furosemide,naproxen|prednisolone,untreated_infection,evaluate gout or injury,who|nice,moderate
heartburn,ppi|antacids|h2_blockers,omeprazole|antacids,famotidine|sucralfate,smoking|nsaid,often gastroesophageal reflux,who|nice,mild_moderate
smoking problems,nicotine_replacement_therapy|behavioral_therapy,nicotine patch|varenicline,bupropion|counseling,continued_tobacco_use,require cessation support,who|nice,moderate
muscle pain,nsaid|analgesics|rest,ibuprofen|paracetamol,naproxen|baclofen,long_term_opioid_use,evaluate strain or infection,who|nice,mild_moderate
infant feeding problem,feeding_support|lactation_counseling|supplemental_feeding,lactation support|formula supplementation,proton pump inhibitors if reflux,unsafe_feeding_practices,evaluate growth and hydration,who|nice,moderate
recent weight loss,nutritional_support|appetite_stimulants|diagnostic_evaluation,dietary supplementation|megestrol,high calorie diet|treat underlying cause,untreated_malignancy,evaluate underlying disease,who|nice,severe
problems with shape or size of breast,hormonal_evaluation|surgical_consultation,imaging|endocrine assessment,surgery|hormonal therapy,delay_in_evaluation,evaluate benign or malignant cause,who|nice,moderate
underweight,nutritional_supplementation|dietary_counseling,high calorie diet|vitamin supplements,appetite stimulants|enteral feeding,untreated_eating_disorder,evaluate underlying cause,who|nice,moderate
difficulty eating,nutritional_support|speech_therapy|treat_underlying_cause,dietary modification|omeprazole,enteral feeding|surgery,delay_in_evaluation,evaluate dysphagia cause,who|nice,moderate_severe
scanty menstrual flow,hormonal_therapy|iron_supplementation,progesterone therapy|iron supplements,combined oral contraceptives|evaluation,delay_in_gynecological_assessment,evaluate hormonal imbalance,who|nice,mild_moderate
vaginal pain,analgesics|antifungals|lubricants,paracetamol|clotrimazole,fluconazole|water based lubricants,untreated_infection,evaluate infection or trauma,who|nice,moderate
vaginal redness,antifungals|antibiotics|topical_corticosteroids,clotrimazole|metronidazole,hydrocortisone cream|fluconazole,irritants|unnecessary_antibiotics,evaluate infection,who|nice,mild_moderate
vulvar irritation,antifungals|topical_corticosteroids|antihistamine,clotrimazole|hydrocortisone cream,loratadine|fluconazole,harsh_soaps|irritants,often allergic or fungal cause,who|nice,mild
weakness,nutritional_support|treat_underlying_cause|physical_therapy,vitamin supplementation|rehabilitation,iron supplements|diagnostic evaluation,untreated_anemia,evaluate systemic cause,who|nice,moderate
decreased heart rate,atropine|pacemaker|monitoring,atropine|cardiac monitoring,pacemaker insertion|dopamine,delay_in_emergency_care,evaluate conduction disorder,aha|acc,severe
increased heart rate,beta_blocker|treat_underlying_cause,metoprolol|iv fluids,amiodarone|diltiazem,stimulant|untreated_hyperthyroidism,evaluate cardiac rhythm,aha|acc,moderate_severe
bleeding or discharge from nipple,imaging|antibiotics_if_infection,mammography|amoxicillin,biopsy|surgical evaluation,delay_in_breast_evaluation,evaluate malignancy risk,who|nice,severe
ringing in ear,antidepressant|sound_therapy|counseling,sertraline|sound therapy,betahistine|hearing aids,excess_noise_exposure,often tinnitus,who|nice,mild_moderate
plugged feeling in ear,decongestant|antihistamine|ear_drops,loratadine|oxymetazoline,fluticasone|ear irrigation,long_term_decongestant_use,often eustachian tube dysfunction,who|nice,mild
itchy ear(s),antihistamine|topical_corticosteroids,loratadine|hydrocortisone drops,cetirizine|acetic acid drops,q_tip_overuse,often dermatitis,who|nice,mild
frontal headache,analgesics|triptans,paracetamol|sumatriptan,ibuprofen|propranolol,analgesic_overuse,evaluate migraine or sinus cause,who|nice,mild_moderate
fluid in ear,antibiotics|decongestant|surgical_drainage,amoxicillin|loratadine,tympanostomy tubes|fluticasone,delay_in_treatment,often otitis media,who|nice,moderate
neck stiffness or tightness,nsaid|muscle_relaxants|physical_therapy,ibuprofen|baclofen,naproxen|diazepam short term,evaluate_meningitis_if_fever,assess musculoskeletal cause,who|nice,moderate
spots or clouds in vision,anti_vegf|corticosteroid|laser_therapy,ranibizumab|prednisolone eye drops,laser photocoagulation|surgery,delay_in_ophthalmology_referral,evaluate retinal disease,who|nice,severe
eye redness,lubricants|antibiotics|antihistamine,artificial tears|chloramphenicol eye drops,cetirizine|ciprofloxacin eye drops,steroid_drops_without_prescription,often conjunctivitis,who|nice,mild_moderate
lacrimation,antihistamine|lubricants,loratadine|artificial tears,fluticasone|ketotifen eye drops,allergen_exposure,often allergy related,who|nice,mild
itchiness of eye,antihistamine|mast_cell_stabilizers,loratadine|ketotifen eye drops,cetirizine|olopatadine,rubbing_eyes,often allergic conjunctivitis,who|nice,mild
