narrative_id,rule_id,narrative_text,drug,food,symptom,event_1,event_2,event_3,temporal_order,inferred_reason,label_valid
N024,R015,"I had my vitamins during lunch",vitamin,food,,took_drug,ate_food,,drug_with_food,absorption_improve,1

N025,R019,"I drank coffee after taking anxiety medication",anxiety,coffee,,took_drug,drank_food,,drug_before_food,caffeine_effect,1
N026,R019,"I take coffee with my anxiety medicine daily",anxiety,coffee,,took_drug,drank_food,,drug_with_food,caffeine_effect,1

N027,R020,"I drank alcohol after taking a sedative and felt very sleepy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,1
N028,R020,"After alcohol and sleeping pills, I felt extremely drowsy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,1

N029,R021,"I ate sugary food while on diabetes medication",diabetes,sugar,,ate_food,,,food_only,glycemic_control,1
N030,R021,"I had sweets after taking diabetes medicine",diabetes,sugar,,took_drug,ate_food,,drug_before_food,glycemic_control,1

N031,R022,"I ate salty food while taking hypertension medicine",hypertension,salt,,ate_food,,,food_only,sodium_effect,1
N032,R022,"I consume high salt meals during hypertension treatment",hypertension,salt,,ate_food,,,food_only,sodium_effect,1

N033,R023,"I ate grapefruit while taking statins",statin,grapefruit,,ate_food,,,food_only,enzyme_inhibition,1
N034,R023,"I had grapefruit juice during statin therapy",statin,grapefruit,,drank_food,,,food_only,enzyme_inhibition,1

N035,R024,"I drank alcohol while taking antidepressants",antidepressant,alcohol,,took_drug,drank_food,,drug_with_food,cns_alcohol,1
N036,R024,"I take alcohol with my antidepressant medication",antidepressant,alcohol,,took_drug,drank_food,,drug_with_food,cns_alcohol,1

N037,R025,"I smoke regularly while having asthma",asthma,smoking,,habit,,,habit,trigger_effect,1
N038,R025,"I continued smoking during asthma treatment",asthma,smoking,,habit,,,habit,trigger_effect,1

N039,R026,"I took antibiotics with milk and felt nauseous",antibiotic,milk,nausea,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,possible_interaction,1
N040,R026,"After milk and antibiotics, I felt uncomfortable",antibiotic,milk,nausea,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,possible_interaction,1

N041,R027,"I took painkillers without food and had stomach pain",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N042,R028,"I skipped meals and took diabetes medicine then felt dizzy",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1

N043,R029,"I drank alcohol with sedatives and felt very sleepy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,1
N044,R030,"I ate leafy vegetables during warfarin therapy",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1

N045,R031,"I drink alcohol while taking medicine",general,alcohol,,habit,,,habit,general_interaction,1
N046,R032,"I ate a high fat meal with my medicine",general,high_fat,,ate_food,,,food_only,absorption_delay,1
N047,R033,"I had high fiber food with my tablets",general,high_fiber,,ate_food,,,food_only,absorption_delay,1

N048,R034,"I forgot to take my medicine yesterday",general,,none,missed_dose,,,missed_dose,missed_dose,1
N049,R035,"I accidentally took two doses of my medicine",general,,none,double_dose,,,double_dose,overdose,1

N050,R004,"I ate breakfast right after taking my thyroid medicine",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1

N051,R002,"I swallowed amoxicillin and had milk afterward",amoxicillin,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N052,R002,"After my amoxicillin capsule, I drank a cup of milk",amoxicillin,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N053,R001,"I took my antibiotic and ate curd soon after",antibiotic,curd,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1
N054,R001,"Right after antibiotics, I had yogurt for breakfast",antibiotic,yogurt,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1
N055,R003,"I took levothyroxine and later ate lentils rich in iron",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N056,R003,"After my thyroid tablet, I had an iron-rich meal",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N057,R004,"I took levothyroxine and ate toast immediately after",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N058,R004,"I had breakfast just after taking my thyroid medicine",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N059,R005,"I ate kale while taking warfarin",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1
N060,R005,"During warfarin treatment, I kept eating green salads",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1
N061,R007,"I took a sleeping tablet and later drank beer",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,2
N062,R007,"After my sedative dose, I had some wine",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,2
N063,R010,"I took metformin and then ate a sugary dessert",metformin,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1
N064,R010,"After my diabetes tablet, I ate noodles and rice",antidiabetic,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1
N065,R011,"I skipped dinner, took diclofenac, and my stomach hurt later",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N066,R011,"I missed breakfast, took an NSAID, and later felt stomach pain",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N067,R011,"Without eating anything, I took diclofenac and my stomach started hurting",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N068,R012,"I skipped breakfast, took my diabetes tablet, and felt dizzy afterward",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1
N069,R012,"I took my antidiabetic medicine on an empty stomach and later felt weak",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1
N070,R013,"After taking antibiotics, I felt some nausea later in the day",antibiotic,,nausea,took_drug,felt_symptom,,drug_then_symptom,side_effect_variation,1
N071,R013,"I used my antibiotic dose and then started feeling nauseous",antibiotic,,nausea,took_drug,felt_symptom,,drug_then_symptom,side_effect_variation,1
N072,R014,"I swallowed my iron tablet together with breakfast",iron,food,,took_drug,ate_food,,drug_with_food,absorption_issue,1
N073,R014,"Right after taking iron supplements, I ate my meal",iron,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N074,R015,"I had my vitamins together with dinner",vitamin,food,,took_drug,ate_food,,drug_with_food,absorption_improve,1
N075,R015,"I took vitamin tablets while having lunch",vitamin,food,,took_drug,ate_food,,drug_with_food,absorption_improve,1
N076,R019,"I had coffee after taking my anxiety tablet",anxiety,coffee,,took_drug,drank_food,,drug_before_food,caffeine_effect,1
N077,R019,"I usually drink coffee with my anxiety medication",anxiety,coffee,,took_drug,drank_food,,drug_with_food,caffeine_effect,1
N078,R020,"I took a sedative, drank alcohol, and then felt very drowsy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2
N079,R020,"After taking sleeping pills with alcohol, I became very sleepy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2
N080,R021,"I ate sweets while taking diabetes medication",diabetes,sugar,,ate_food,,,food_only,glycemic_control,1
N081,R021,"After my diabetes medicine, I had sugary snacks",diabetes,sugar,,took_drug,ate_food,,drug_before_food,glycemic_control,1
N082,R022,"I ate a salty meal while using hypertension medicine",hypertension,salt,,ate_food,,,food_only,sodium_effect,1
N083,R022,"During hypertension treatment, I kept eating high-salt food",hypertension,salt,,ate_food,,,food_only,sodium_effect,1
N084,R023,"I had grapefruit juice while taking statins",statin,grapefruit,,drank_food,,,food_only,enzyme_inhibition,1
N085,R023,"I ate grapefruit during my statin treatment",statin,grapefruit,,ate_food,,,food_only,enzyme_inhibition,1
N086,R024,"I drank alcohol after taking antidepressants",antidepressant,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,1
N087,R024,"I used my antidepressant medicine and later had alcohol",antidepressant,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,1
N088,R025,"I still smoke even though I have asthma",asthma,smoking,,habit,,,habit,trigger_effect,1
N089,R025,"While being treated for asthma, I continued smoking",asthma,smoking,,habit,,,habit,trigger_effect,1
N090,R026,"I took antibiotics with milk and later felt nauseous",antibiotic,milk,nausea,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,possible_interaction,1
N091,R026,"After my antibiotic and milk, I started feeling uncomfortable",antibiotic,milk,nausea,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,possible_interaction,1
N092,R027,"I took painkillers without food and then had stomach pain",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N093,R028,"I skipped meals, took my diabetes medicine, and felt dizzy later",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1
N094,R029,"I drank alcohol with sedatives and felt unusually sleepy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2
N095,R030,"I ate leafy greens regularly during warfarin treatment",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1
N096,R031,"I drink alcohol while taking medication",unknown,alcohol,,habit,,,habit,general_interaction,1
N097,R032,"I ate a high-fat meal with my tablets",unknown,high_fat,,ate_food,,,food_only,absorption_delay,1
N098,R033,"I had a high-fiber meal with my medicine",unknown,high_fiber,,ate_food,,,food_only,absorption_delay,1
N099,R034,"I forgot one of my medicine doses yesterday",unknown,,none,missed_dose,,,missed_dose,missed_dose,1
N100,R035,"I mistakenly took an extra dose of my medicine",unknown,,none,double_dose,,,double_dose,overdose,1
N101,R002,"I took amoxicillin and then had milk after lunch",amoxicillin,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N102,R002,"After taking my antibiotic, I drank a glass of milk",antibiotic,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N103,R001,"I took antibiotics and ate yogurt afterward",antibiotic,yogurt,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1
N104,R001,"After my antibiotic dose, I had some yogurt",antibiotic,yogurt,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1

N105,R003,"I took levothyroxine and later ate beans rich in iron",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N106,R003,"After my thyroid medication, I ate an iron-rich meal",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N107,R004,"I took levothyroxine and immediately had breakfast",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N108,R004,"I ate food right after taking my thyroid tablet",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1

N109,R005,"I ate spinach during my warfarin treatment",warfarin,spinach,,ate_food,none,none,food_only,vitk_warfarin,1
N110,R005,"While on warfarin, I consumed leafy greens regularly",warfarin,leafy greens,,ate_food,none,none,food_only,vitk_warfarin,1

N111,R007,"I took a sedative and later drank alcohol",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,2
N112,R007,"After taking sleeping pills, I drank beer",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,2

N113,R010,"I took metformin and then ate a high-carb meal",metformin,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1
N114,R010,"After my diabetes medication, I ate rice and sweets",antidiabetic,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1

N115,R011,"I skipped breakfast and took an NSAID, then had stomach pain",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N116,R011,"I took a painkiller without food and later felt stomach discomfort",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1

N117,R012,"I skipped meals, took my diabetes medicine, and felt dizzy",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1
N118,R012,"I took my antidiabetic tablet without eating and felt weak",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1

N119,R013,"I took antibiotics and later felt nauseous",antibiotic,,nausea,took_drug,felt_symptom,,drug_then_symptom,side_effect_variation,1
N120,R013,"After taking antibiotics, I experienced nausea",antibiotic,,nausea,took_drug,felt_symptom,,drug_then_symptom,side_effect_variation,1

N121,R014,"I took iron tablets with my meal",iron,food,,took_drug,ate_food,,drug_with_food,absorption_issue,1
N122,R014,"I ate food immediately after taking iron supplements",iron,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1

N123,R015,"I took vitamins together with my meal",vitamin,food,,took_drug,ate_food,,drug_with_food,absorption_improve,1
N124,R015,"I had my vitamins while eating lunch",vitamin,food,,took_drug,ate_food,,drug_with_food,absorption_improve,1

N125,R019,"I drank coffee after taking anxiety medication",anxiety,coffee,,took_drug,drank_food,,drug_before_food,caffeine_effect,1
N126,R019,"I take my anxiety medicine with coffee",anxiety,coffee,,took_drug,drank_food,,drug_with_food,caffeine_effect,1

N127,R020,"I took a sedative, drank alcohol, and felt very sleepy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2
N128,R020,"After alcohol and sleeping pills, I became extremely drowsy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2

N129,R021,"I ate sugary foods while on diabetes medication",diabetes,sugar,,ate_food,,,food_only,glycemic_control,1
N130,R021,"I had sweets after taking my diabetes medicine",diabetes,sugar,,took_drug,ate_food,,drug_before_food,glycemic_control,1

N131,R022,"I ate salty food while taking hypertension medication",hypertension,salt,,ate_food,,,food_only,sodium_effect,1
N132,R022,"I consumed high-salt meals during hypertension treatment",hypertension,salt,,ate_food,,,food_only,sodium_effect,1

N133,R023,"I ate grapefruit while taking statins",statin,grapefruit,,ate_food,,,food_only,enzyme_inhibition,1
N134,R023,"I drank grapefruit juice during statin therapy",statin,grapefruit,,drank_food,,,food_only,enzyme_inhibition,1

N135,R024,"I drank alcohol while taking antidepressants",antidepressant,alcohol,,took_drug,drank_food,,drug_with_food,cns_alcohol,1
N136,R024,"I take alcohol with my antidepressant medication",antidepressant,alcohol,,took_drug,drank_food,,drug_with_food,cns_alcohol,1

N137,R025,"I smoke regularly while having asthma",asthma,smoking,,habit,,,habit,trigger_effect,1
N138,R025,"I continued smoking during asthma treatment",asthma,smoking,,habit,,,habit,trigger_effect,1

N139,R026,"I took antibiotics with milk and felt nauseous",antibiotic,milk,nausea,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,possible_interaction,1
N140,R026,"After taking antibiotics and milk, I felt uncomfortable",antibiotic,milk,nausea,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,possible_interaction,1

N141,R031,"I drink alcohol while taking medicine",unknown,alcohol,,habit,,,habit,general_interaction,1
N142,R032,"I ate a high-fat meal with my medication",unknown,high_fat,,ate_food,,,food_only,absorption_delay,1
N143,R033,"I ate high-fiber food with my tablets",unknown,high_fiber,,ate_food,,,food_only,absorption_delay,1

N144,R034,"I forgot to take my medicine yesterday",unknown,,none,missed_dose,,,missed_dose,missed_dose,1
N145,R035,"I accidentally took two doses of my medicine",unknown,,none,double_dose,,,double_dose,overdose,1

N146,R011,"I took NSAIDs without food and felt stomach pain",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N147,R012,"I skipped meals and took diabetes medicine, then felt dizzy",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1
N148,R020,"I drank alcohol with sedatives and felt very sleepy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2
N149,R005,"I ate leafy vegetables during warfarin therapy",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1
N150,R004,"I ate breakfast right after taking my thyroid medicine",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N151,R002,"I took amoxicillin and drank milk shortly after",amoxicillin,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N152,R002,"After taking antibiotics, I drank milk tea",antibiotic,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N153,R001,"I took antibiotics and ate yogurt later",antibiotic,yogurt,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1
N154,R001,"I had curd after my antibiotic dose",antibiotic,curd,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1

N155,R003,"I took levothyroxine and later ate iron-rich lentils",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N156,R003,"After thyroid medicine, I had iron-rich food",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N157,R004,"I took levothyroxine and ate breakfast immediately",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N158,R004,"I had food right after my thyroid tablet",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1

N159,R005,"I ate green leafy vegetables while on warfarin",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1
N160,R005,"During warfarin therapy, I ate spinach regularly",warfarin,spinach,,ate_food,,,food_only,vitk_warfarin,1

N161,R007,"I took a sedative and then drank alcohol",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,2
N162,R007,"After sleeping pills, I had beer",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,2

N163,R010,"I took metformin and ate sweets afterward",metformin,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1
N164,R010,"After my diabetes medicine, I had sugary food",antidiabetic,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1

N165,R011,"I skipped meals and took an NSAID, then had stomach pain",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N166,R011,"I took diclofenac without eating and felt stomach discomfort",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1

N167,R012,"I skipped meals, took my diabetes medicine, and felt dizzy",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1
N168,R012,"I took antidiabetic medicine without food and felt weak",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1

N169,R013,"I took antibiotics and felt nauseous afterward",antibiotic,,nausea,took_drug,felt_symptom,,drug_then_symptom,side_effect_variation,1
N170,R013,"After taking antibiotics, I started feeling nausea",antibiotic,,nausea,took_drug,felt_symptom,,drug_then_symptom,side_effect_variation,1

N171,R014,"I took iron tablets and ate food immediately",iron,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N172,R014,"I had food right after taking iron supplements",iron,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1

N173,R015,"I took vitamins with my meal",vitamin,food,,took_drug,ate_food,,drug_with_food,absorption_improve,1
N174,R015,"I had vitamin tablets while eating lunch",vitamin,food,,took_drug,ate_food,,drug_with_food,absorption_improve,1

N175,R019,"I drank coffee after taking anxiety medication",anxiety,coffee,,took_drug,drank_food,,drug_before_food,caffeine_effect,1
N176,R019,"I take coffee together with anxiety medicine",anxiety,coffee,,took_drug,drank_food,,drug_with_food,caffeine_effect,1

N177,R020,"I took sedatives and drank alcohol and felt sleepy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2
N178,R020,"After alcohol and sleeping pills, I felt very drowsy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2

N179,R021,"I ate sugary foods while on diabetes medication",diabetes,sugar,,ate_food,,,food_only,glycemic_control,1
N180,R021,"I had sweets after diabetes medicine",diabetes,sugar,,took_drug,ate_food,,drug_before_food,glycemic_control,1

N181,R022,"I ate salty food while taking hypertension medicine",hypertension,salt,,ate_food,,,food_only,sodium_effect,1
N182,R022,"I consume high salt meals regularly with hypertension treatment",hypertension,salt,,ate_food,,,food_only,sodium_effect,1

N183,R023,"I ate grapefruit while taking statins",statin,grapefruit,,ate_food,,,food_only,enzyme_inhibition,1
N184,R023,"I drank grapefruit juice during statin treatment",statin,grapefruit,,drank_food,,,food_only,enzyme_inhibition,1

N185,R024,"I drank alcohol while taking antidepressants",antidepressant,alcohol,,took_drug,drank_food,,drug_with_food,cns_alcohol,1
N186,R024,"I take alcohol with antidepressant medication",antidepressant,alcohol,,took_drug,drank_food,,drug_with_food,cns_alcohol,1

N187,R025,"I smoke regularly while having asthma",asthma,smoking,,habit,,,habit,trigger_effect,1
N188,R025,"I continued smoking during asthma treatment",asthma,smoking,,habit,,,habit,trigger_effect,1

N189,R026,"I took antibiotics with milk and felt nauseous",antibiotic,milk,nausea,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,possible_interaction,1
N190,R026,"After milk and antibiotics, I felt discomfort",antibiotic,milk,nausea,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,possible_interaction,1

N191,R027,"I took painkillers without food and felt stomach pain",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1
N192,R028,"I skipped meals and took diabetes medicine then felt dizzy",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1

N193,R029,"I drank alcohol with sedatives and felt sleepy",sedative,alcohol,drowsiness,took_drug,drank_food,felt_symptom,drug_before_food_then_symptom,cns_alcohol,2
N194,R030,"I ate leafy greens during warfarin therapy",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1

N195,R031,"I drink alcohol while taking medication",unknown,alcohol,,habit,,,habit,general_interaction,1
N196,R032,"I ate a high-fat meal with my medicine",unknown,high_fat,,ate_food,,,food_only,absorption_delay,1
N197,R033,"I had high-fiber food with my tablets",unknown,high_fiber,,ate_food,,,food_only,absorption_delay,1

N198,R034,"I forgot to take my medicine",unknown,,none,missed_dose,,,missed_dose,missed_dose,1
N199,R035,"I accidentally took an extra dose of medicine",unknown,,none,double_dose,,,double_dose,overdose,1

N200,R004,"I ate breakfast right after taking levothyroxine",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N201,R002,"I had my amoxicillin tablet and later drank milk tea",amoxicillin,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N202,R002,"After using my antibiotic, I drank milk in the evening",antibiotic,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N203,R001,"I ate yogurt a while after taking my antibiotic",antibiotic,yogurt,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1
N204,R001,"I consumed curd sometime after my antibiotic dose",antibiotic,curd,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1

N205,R003,"I took levothyroxine early morning and later ate iron-rich food",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N206,R003,"After my thyroid medication, I had beans containing iron",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N207,R004,"I ate breakfast right after taking levothyroxine tablet",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1
N208,R004,"Immediately after my thyroid medicine, I ate some food",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1

N209,R005,"I included spinach in my meals while on warfarin",warfarin,spinach,,ate_food,,,food_only,vitk_warfarin,1
N210,R005,"While taking warfarin, I often ate leafy vegetables",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1

N211,R007,"I drank alcohol after taking a sedative tablet",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,2
N212,R007,"I had wine later after my sleeping medication",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,2

N213,R010,"I ate sugary food after taking metformin",metformin,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1
N214,R010,"After my diabetes medicine, I consumed high-carb snacks",antidiabetic,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1

