id,text,drug_raw,drug_normalized,food_raw,food_category,symptom,event_sequence,temporal_relation,interaction_category,severity,is_interaction_present,confidence_label,notes
N015,I skipped breakfast and took diclofenac,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug,meal_before_drug,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N016,I took a painkiller without eating and felt stomach pain,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N017,I skipped lunch and took my diabetes medicine then felt dizzy,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N018,I took my diabetes tablet without eating and felt weak,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N019,I took antibiotics and felt nauseous later,antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N020,"After my antibiotic dose, I experienced nausea",antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N021,I took iron tablets with food,iron,iron,food,general_food,none,took_drug|ate_food,drug_with_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N022,I ate immediately after taking iron supplements,iron,iron,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N023,I took vitamins with my meal,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N024,I had my vitamins during lunch,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N025,I drank coffee after taking anxiety medication,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N026,I take coffee with my anxiety medicine daily,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_with_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N027,I drank alcohol after taking a sedative and felt very sleepy,sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,high,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N028,"After alcohol and sleeping pills, I felt extremely drowsy",sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,high,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N029,I ate sugary food while on diabetes medication,diabetes,diabetes,sugar,high_sugar_or_high_carb,none,ate_food,food_only,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N030,I had sweets after taking diabetes medicine,diabetes,diabetes,sugar,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N031,I ate salty food while taking hypertension medicine,hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N032,I consume high salt meals during hypertension treatment,hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N033,I ate grapefruit while taking statins,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,ate_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N034,I had grapefruit juice during statin therapy,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,drank_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N035,I drank alcohol while taking antidepressants,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_with_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N036,I take alcohol with my antidepressant medication,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_with_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N037,I smoke regularly while having asthma,asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
N038,I continued smoking during asthma treatment,asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
N039,I took antibiotics with milk and felt nauseous,antibiotic,antibiotic,milk,dairy_or_calcium,nausea,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,1,TRUE,medium,source_rule=R026; rule_category=symptom_based; clinical_strength=moderate; confidence_base=0.75
N040,"After milk and antibiotics, I felt uncomfortable",antibiotic,antibiotic,milk,dairy_or_calcium,nausea,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,0,TRUE,medium,source_rule=R026; rule_category=symptom_based; clinical_strength=moderate; confidence_base=0.75
N041,I took painkillers without food and had stomach pain,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R027; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.9
N042,I skipped meals and took diabetes medicine then felt dizzy,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R028; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.88
N043,I drank alcohol with sedatives and felt very sleepy,sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,high,source_rule=R029; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.92
N044,I ate leafy vegetables during warfarin therapy,warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R030; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.85
N045,I drink alcohol while taking medicine,general,general,alcohol,alcohol,none,habit,habit,possible_interaction,1,TRUE,medium,source_rule=R031; rule_category=general; clinical_strength=moderate; confidence_base=0.7
N046,I ate a high fat meal with my medicine,general,general,high_fat,high_fat,none,ate_food,food_only,absorption_effect,0,TRUE,medium,source_rule=R032; rule_category=general; clinical_strength=heuristic; confidence_base=0.65
N047,I had high fiber food with my tablets,general,general,high_fiber,high_fiber,none,ate_food,food_only,absorption_effect,0,TRUE,medium,source_rule=R033; rule_category=general; clinical_strength=heuristic; confidence_base=0.65
N048,I forgot to take my medicine yesterday,general,general,none,none_reported,none,missed_dose,missed_dose,missed_dose,1,TRUE,high,source_rule=R034; rule_category=general; clinical_strength=strong; confidence_base=0.95
N049,I accidentally took two doses of my medicine,general,general,none,none_reported,none,double_dose,double_dose,overdose,2,TRUE,high,source_rule=R035; rule_category=general; clinical_strength=strong; confidence_base=0.95
N050,I ate breakfast right after taking my thyroid medicine,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N051,I swallowed amoxicillin and had milk afterward,amoxicillin,amoxicillin,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N052,"After my amoxicillin capsule, I drank a cup of milk",amoxicillin,amoxicillin,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N053,I took my antibiotic and ate curd soon after,antibiotic,antibiotic,curd,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N054,"Right after antibiotics, I had yogurt for breakfast",antibiotic,antibiotic,yogurt,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N055,I took levothyroxine and later ate lentils rich in iron,levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N056,"After my thyroid tablet, I had an iron-rich meal",levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N057,I took levothyroxine and ate toast immediately after,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N058,I had breakfast just after taking my thyroid medicine,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N059,I ate kale while taking warfarin,warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N060,"During warfarin treatment, I kept eating green salads",warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N061,I took a sleeping tablet and later drank beer,sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,low,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N062,"After my sedative dose, I had some wine",sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,low,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N063,I took metformin and then ate a sugary dessert,metformin,metformin,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N064,"After my diabetes tablet, I ate noodles and rice",antidiabetic,antidiabetic,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N065,"I skipped dinner, took diclofenac, and my stomach hurt later",NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N066,"I missed breakfast, took an NSAID, and later felt stomach pain",NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N067,"Without eating anything, I took diclofenac and my stomach started hurting",NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N068,"I skipped breakfast, took my diabetes tablet, and felt dizzy afterward",antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N069,I took my antidiabetic medicine on an empty stomach and later felt weak,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N070,"After taking antibiotics, I felt some nausea later in the day",antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N071,I used my antibiotic dose and then started feeling nauseous,antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N072,I swallowed my iron tablet together with breakfast,iron,iron,food,general_food,none,took_drug|ate_food,drug_with_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N073,"Right after taking iron supplements, I ate my meal",iron,iron,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N074,I had my vitamins together with dinner,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N075,I took vitamin tablets while having lunch,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N076,I had coffee after taking my anxiety tablet,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N077,I usually drink coffee with my anxiety medication,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_with_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N078,"I took a sedative, drank alcohol, and then felt very drowsy",sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N079,"After taking sleeping pills with alcohol, I became very sleepy",sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N080,I ate sweets while taking diabetes medication,diabetes,diabetes,sugar,high_sugar_or_high_carb,none,ate_food,food_only,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N081,"After my diabetes medicine, I had sugary snacks",diabetes,diabetes,sugar,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N082,I ate a salty meal while using hypertension medicine,hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N083,"During hypertension treatment, I kept eating high-salt food",hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N084,I had grapefruit juice while taking statins,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,drank_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N085,I ate grapefruit during my statin treatment,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,ate_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N086,I drank alcohol after taking antidepressants,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N087,I used my antidepressant medicine and later had alcohol,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N088,I still smoke even though I have asthma,asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
N089,"While being treated for asthma, I continued smoking",asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
N090,I took antibiotics with milk and later felt nauseous,antibiotic,antibiotic,milk,dairy_or_calcium,nausea,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,0,TRUE,medium,source_rule=R026; rule_category=symptom_based; clinical_strength=moderate; confidence_base=0.75
N091,"After my antibiotic and milk, I started feeling uncomfortable",antibiotic,antibiotic,milk,dairy_or_calcium,nausea,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,0,TRUE,medium,source_rule=R026; rule_category=symptom_based; clinical_strength=moderate; confidence_base=0.75
N092,I took painkillers without food and then had stomach pain,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R027; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.9
N093,"I skipped meals, took my diabetes medicine, and felt dizzy later",antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R028; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.88
N094,I drank alcohol with sedatives and felt unusually sleepy,sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R029; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.92
N095,I ate leafy greens regularly during warfarin treatment,warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R030; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.85
N096,I drink alcohol while taking medication,unknown,unknown,alcohol,alcohol,none,habit,habit,possible_interaction,1,TRUE,medium,source_rule=R031; rule_category=general; clinical_strength=moderate; confidence_base=0.7
N097,I ate a high-fat meal with my tablets,unknown,unknown,high_fat,high_fat,none,ate_food,food_only,absorption_effect,0,TRUE,medium,source_rule=R032; rule_category=general; clinical_strength=heuristic; confidence_base=0.65
N098,I had a high-fiber meal with my medicine,unknown,unknown,high_fiber,high_fiber,none,ate_food,food_only,absorption_effect,0,TRUE,medium,source_rule=R033; rule_category=general; clinical_strength=heuristic; confidence_base=0.65
N099,I forgot one of my medicine doses yesterday,unknown,unknown,none,none_reported,none,missed_dose,missed_dose,missed_dose,1,TRUE,high,source_rule=R034; rule_category=general; clinical_strength=strong; confidence_base=0.95
N100,I mistakenly took an extra dose of my medicine,unknown,unknown,none,none_reported,none,double_dose,double_dose,overdose,2,TRUE,high,source_rule=R035; rule_category=general; clinical_strength=strong; confidence_base=0.95
N101,I took amoxicillin and then had milk after lunch,amoxicillin,amoxicillin,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N102,"After taking my antibiotic, I drank a glass of milk",antibiotic,antibiotic,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N103,I took antibiotics and ate yogurt afterward,antibiotic,antibiotic,yogurt,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N104,"After my antibiotic dose, I had some yogurt",antibiotic,antibiotic,yogurt,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N105,I took levothyroxine and later ate beans rich in iron,levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N106,"After my thyroid medication, I ate an iron-rich meal",levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N107,I took levothyroxine and immediately had breakfast,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N108,I ate food right after taking my thyroid tablet,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N109,I ate spinach during my warfarin treatment,warfarin,warfarin,spinach,leafy_green_high_vitk,none,ate_food|none|none,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N110,"While on warfarin, I consumed leafy greens regularly",warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food|none|none,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N111,I took a sedative and later drank alcohol,sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,low,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N112,"After taking sleeping pills, I drank beer",sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,low,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N113,I took metformin and then ate a high-carb meal,metformin,metformin,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N114,"After my diabetes medication, I ate rice and sweets",antidiabetic,antidiabetic,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N115,"I skipped breakfast and took an NSAID, then had stomach pain",NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N116,I took a painkiller without food and later felt stomach discomfort,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N117,"I skipped meals, took my diabetes medicine, and felt dizzy",antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
