rule_id,rule_category,drug_keyword,food_keyword,symptom_keyword,event_pattern,risk_type,severity,explanation_template,advice_template,timing_window,confidence_base,clinical_strength
R021,lifestyle,diabetes,sugar,,ate,glycemic_control,1,"High sugar intake can raise blood glucose levels and make diabetes harder to control. Even if medicine is being taken correctly, frequent sugary foods or drinks may reduce overall glucose stability. Long-term poor control can increase the risk of complications.","Limit sugary foods and drinks, and follow the diet plan recommended for diabetes management.",daily,0.8,strong
R022,lifestyle,hypertension,salt,,ate,sodium_effect,1,"Eating too much salt can raise blood pressure and reduce how well hypertension treatment works. This may place extra strain on the heart and blood vessels, especially over time. Lowering sodium intake can support better blood pressure control.",Reduce salt intake and be careful with processed or packaged foods that contain high sodium.,daily,0.9,strong
R023,lifestyle,statin,grapefruit,,ate,enzyme_inhibition,2,"Grapefruit can affect the way certain statins are broken down in the body. As a result, the medicine level may become higher than expected, which can increase the chance of side effects. The degree of this interaction depends on the specific statin being used.",Avoid grapefruit or grapefruit juice unless your prescriber confirms that your statin is safe with it.,24h,0.9,strong
R024,lifestyle,antidepressant,alcohol,,took->drank,cns_alcohol,2,"Alcohol can worsen the side effects of some antidepressants and may increase drowsiness, dizziness, poor concentration, or emotional instability. In some cases, it may also interfere with recovery and make symptoms harder to manage. Combining alcohol with antidepressants is generally not recommended.",Avoid alcohol while taking antidepressants unless your prescriber has clearly advised otherwise.,24h,0.9,strong
R025,lifestyle,asthma,smoking,,habit,trigger_effect,2,"Smoking can irritate the airways, worsen asthma symptoms, and reduce how well asthma treatment works. It may lead to more frequent coughing, wheezing, shortness of breath, or flare-ups over time. Continuing to smoke can make asthma harder to control.",Avoid smoking and reduce exposure to smoke whenever possible.,continuous,0.95,strong
,,,,,,,,,,,,
R026,symptom_based,antibiotic,dairy,nausea,took->ate->felt,possible_interaction,1,"Nausea may happen when an antibiotic is taken close to dairy foods, because dairy can sometimes affect how the medicine is absorbed or tolerated. This does not always mean there is a serious reaction, but the combination may make stomach discomfort more noticeable in some people. If nausea continues, the timing of food and medicine may need to be adjusted.","Try taking dairy foods and the antibiotic a few hours apart if advised, and seek medical advice if nausea continues or becomes worse.",2-4h,0.75,moderate
R027,symptom_based,NSAID,,stomach pain,skipped->took->felt,empty_stomach_irritation,1,"Stomach pain can occur when an NSAID is taken after skipping a meal, because this type of medicine may irritate the stomach lining more when the stomach is empty. Taking the medicine without food can make discomfort, burning, or pain more likely. This is a common timing-related problem with some painkillers.","If your medicine instructions allow it, take the painkiller with food or after a meal to reduce stomach irritation.",with food,0.9,strong
R028,symptom_based,antidiabetic,,dizziness,skipped->took->felt,low_sugar,1,"Dizziness may be caused by low blood sugar if an antidiabetic medicine is taken after skipping a meal. When the medicine lowers blood glucose but enough food is not eaten, the sugar level may drop too much and cause symptoms such as dizziness, weakness, shakiness, or sweating. This can happen even when the medicine is taken correctly.","Avoid skipping meals while taking diabetes medicine, and check your blood sugar or seek advice if symptoms continue.",meal required,0.88,strong
R029,symptom_based,sedative,alcohol,drowsiness,took->drank->felt,cns_alcohol,2,"Drowsiness may become worse when alcohol is consumed after taking a sedative medicine. Alcohol can increase the medicine’s calming effect on the brain, leading to stronger sleepiness, reduced alertness, and difficulty doing normal activities safely. This combination can increase the risk of excessive sedation.",Do not drink alcohol while using sedative medicines.,24h,0.92,strong
R030,symptom_based,warfarin,leafy greens,,ate->effect,vitk_warfarin,1,"Leafy green vegetables contain vitamin K, which can affect how warfarin works in the body. If the amount of these foods you eat changes significantly from day to day, it can alter your blood clotting levels and make the medicine less stable. Sudden increases or decreases in vitamin K intake may reduce the effectiveness or safety of your treatment.",Do not suddenly change how much leafy green vegetables you eat. Try to keep your intake consistent and follow your regular monitoring plan.,consistent,0.85,strong
,,,,,,,,,,,,
R031,general,,alcohol,,habit,general_interaction,1,"Alcohol can interact with many medicines in different ways, including increasing drowsiness, irritating the stomach, or affecting how some drugs are processed by the body. The exact risk depends on the medicine, but alcohol often increases the chance of unwanted effects.","Limit or avoid alcohol while taking medicine, especially if the medicine can cause sleepiness, stomach upset, or liver-related effects.",general,0.7,moderate
R032,general,,high_fat,,ate,absorption_delay,0,"A high-fat meal may slow the absorption of some medicines and delay how quickly they start working. In some situations this is not a major problem, but for certain medicines it can change the expected timing or strength of effect.",Avoid very heavy or high-fat meals near medicine time if your instructions recommend it.,2h,0.65,heuristic
R033,general,,high_fiber,,ate,absorption_delay,0,High-fiber foods can slow the absorption of some medicines when taken at the same time. This may delay the medicine’s effect or reduce how much is absorbed in certain cases. The level of concern depends on the specific medicine.,"If advised, take high-fiber meals and the medicine at different times.",1-2h,0.65,heuristic
R034,general,,none,,missed_dose,missed_dose,1,"Missing doses can reduce how well a treatment works and may make the underlying condition harder to control. The impact depends on the type of medicine, but repeated missed doses can reduce the benefit of therapy.","Take the medicine exactly as prescribed, and follow the missed-dose instructions given for that specific medicine.",schedule,0.95,strong
R035,general,,none,,double_dose,overdose,2,"Taking more than the prescribed dose can increase the risk of side effects and, in some cases, may be harmful. The severity depends on the medicine and the amount taken, but double dosing should always be treated seriously.","Do not take extra doses. If you think you have taken too much medicine, seek medical advice immediately.",immediate,0.95,strong
